Recipe_Name,Category_Text,Cuisine_Text,Diet_Text,Categories_Tags,Cuisines_Tags,Diet_Types_Tags,Has_Categories,Has_Cuisines,Has_DietTypes,FAQ_Broken
Gluten-Free Pumpkin Cake Pops,"Dessert, Snack, No Bake",American,"Vegetarian, Gluten-Free, Grain-Free","no-bake,dessert,snack,quick-easy,pre-workout,post-workout",american,"vegetarian,plant-based,vegan",YES,YES,YES,NO
Guava and Cheese Empanadas,"Dessert, Appetizer, Snack",Latin American,Vegetarian,"dessert,snack,appetizer","latin-american,mexican",vegetarian,YES,YES,YES,NO
No Bake High Protein Pumpkin Cheesecake Bites,"Dessert, Snack, High-Protein",American,Vegetarian,"dessert,snack,no-bake,quick-easy",american,high-protein,YES,YES,YES,NO
High Protein Bagels,"Breakfast, Snack, High-Protein",American,Vegetarian,"snack,breakfast,quick-easy",american,"high-protein,vegetarian",YES,YES,YES,NO
High Protein Cookie Dough,"Dessert, Snack, High-Protein",American,"Vegan, Plant-Based, Vegetarian","dessert,snack,no-bake",american,"high-protein,vegetarian",YES,YES,YES,NO
High Protein Tofu Pasta,"Lunch, Dinner","Italian, Fusion","Vegan, Vegetarian, Plant-Based","lunch,dinner,quick-easy",italian,"vegetarian,high-protein,plant-based,vegan,whole-food",YES,YES,YES,NO
High Protein Veggie Wraps,"Lunch, Dinner","Mediterranean, Fusion",Vegetarian,"dinner,lunch","american,mediterranean","vegetarian,vegan,plant-based,high-protein",YES,YES,YES,NO
Homemade Black Bean Patties with High Protein Buns,"Lunch, Dinner",American,Vegetarian,"lunch,dinner",american,"plant-based,vegetarian,high-protein",YES,YES,YES,NO
Homemade Dog Treats,Snack,American,"Vegetarian, Vegan (with vegan peanut butter)",snack,,"vegan,vegetarian",YES,NO,YES,NO
Homemade Vegetarian McGriddle,Breakfast,American,Vegetarian,"breakfast,quick-easy",american,"high-protein,vegetarian",YES,YES,YES,NO
Mushroom Ravioli with Ricotta Filling,"Lunch, Dinner",Italian,Vegetarian,"dinner,lunch",italian,"vegetarian,high-protein",YES,YES,YES,NO
Tri-Color Ravioli with Spinach Pesto Filling,Dinner,"Italian, Fusion",Vegetarian,dinner,"fusion,italian","vegetarian,high-protein",YES,YES,YES,NO
2 Ingredient Pumpkin Gnocchi,Dinner,"Italian, American",Vegetarian,"dinner,lunch,quick-easy","italian,american","vegetarian,vegan,plant-based",YES,YES,YES,NO
Lettuce-Free Salad,Lunch,"Mediterranean, Fusion","Vegetarian, High-Protein","quick-easy,side-dish,salad,lunch","mediterranean,fusion","raw-vegan,vegetarian,vegan,plant-based,whole-food",YES,YES,YES,NO
Spaghetti Squash with Bechamel Sauce,Dinner,"American, Italian",Vegetarian,dinner,italian,"vegetarian,keto",YES,YES,YES,NO
High-Protein Greek Yogurt Bagel Sandwiches,Breakfast,American,"Vegetarian, High-Protein",,,,NO,NO,NO,NO
Three-Ingredient Shortbread,Dessert,American,Vegetarian,,,,NO,NO,NO,NO
No-Egg Pasta Pomodoro,Dinner,Italian,"Vegan, Plant-Based, Vegetarian",,,,NO,NO,NO,NO
Overnight Chia Seed Tiramisu,Breakfast,"Italian, American","Vegetarian, High-Protein",,,,NO,NO,NO,NO
High-Protein Greek Yogurt Crescent Rolls,"Breakfast, Side Dish",American,Vegetarian,,,,NO,NO,NO,NO
Crispy Tofu Lettuce Wraps,"Lunch, Dinner","Asian, Fusion","Vegan, Plant-Based",,,,NO,NO,NO,NO
Rosemary Crackers & Fresh Hummus,"Snack, Appetizer",Mediterranean,"Vegetarian, Plant-Based",,,,NO,NO,NO,NO
Chinese-Style Steamed Eggs,Breakfast,"Chinese, Asian",Vegetarian,,,,NO,NO,NO,NO
Spinach Ravioli,"Dinner, Lunch","Italian, Fusion",Vegetarian,,,,NO,NO,NO,NO
Crispy Rice Bowl with Sweet Potato Tempura,"Dinner, Lunch","Fusion, Latin American",Vegetarian,,,,NO,NO,NO,NO
Quick Vegetable Fried Rice,"Dinner, Lunch","Chinese, Asian",Vegetarian,,,,NO,NO,NO,NO
Classic Shortbread Cookies,"Dessert, Snack",American,Vegetarian,,,,NO,NO,NO,NO
Chinese Souffle Steamed Eggs,Breakfast,"Chinese, Asian",Vegetarian,,,,NO,NO,NO,NO
